shipmentid,orderid,shipmentdate,estimateddeliverydate,actualdeliverydate,carrier,trackingnumber
56,2634,2022-07-17,2022-11-18,,FedEx,ef20af3c-9fd5-40ed-aefc-79c3a9e0cc86
57,2851,2022-08-17,2021-09-30,,UPS,6a3011b1-074a-4b7c-bd5d-3e4398b6eaa8
58,1082,2023-01-13,2023-04-21,2022-07-15,Local Courier,
59,2308,2021-08-09,2022-12-01,2022-05-01,FedEx,
60,849,2020-10-28,2020-09-21,2022-11-06,FedEx,b376a843-b829-4793-874a-9657ec359309
61,1233,2022-06-06,2022-07-25,,FedEx,adc0e42c-49c6-4514-b18f-926aa1775297
62,2006,2021-09-02,2020-02-10,,USPS,2a6d6412-3066-42a6-9c96-923ab7d07d7a
63,767,2023-06-13,2022-04-04,,UPS,
64,380,2021-01-07,2022-02-10,2021-01-06,DHL,e9d5dacd-1327-4331-803c-532388e82998
65,1180,2023-03-27,2023-10-09,,UPS,70fc6947-4f4e-4289-a082-c7370de4bac4
66,1749,2021-09-05,2023-01-08,,Local Courier,0b753b17-799b-47c2-9c46-ceadcd120970
67,2282,2020-09-24,2023-01-12,2023-05-16,UPS,
68,693,2021-03-22,2022-11-17,2023-05-16,DHL,5bdff8db-f84f-490a-8fa2-fd419cfd06d8
69,2102,2021-08-02,2022-03-18,2023-12-08,FedEx,
70,1614,2023-02-28,2020-09-09,,USPS,77b40960-5d39-41c9-a6e2-3e19e1650faf
71,1630,2023-08-26,2022-10-14,2020-03-13,Local Courier,d2f6b747-1dec-4033-9f73-a8571bd4355c
72,1298,2023-04-18,2021-08-14,,USPS,
73,2754,2021-01-20,2020-03-22,,UPS,
74,915,2020-03-01,2022-09-24,2022-10-16,DHL,
75,998,2020-06-18,2022-05-09,,Local Courier,
76,3022,2020-07-18,2022-01-02,,DHL,08cf34c0-3358-46cc-af42-c0f9b01cd6f0
77,2400,2023-01-25,2022-04-07,2022-12-24,FedEx,
78,1825,2020-11-25,2020-07-05,,DHL,
79,2165,2022-12-27,2021-08-13,2020-06-23,USPS,
80,837,2020-09-14,2020-07-31,2020-07-29,Local Courier,59f532a7-7ccf-4ed0-988a-6dc3a30a01b2
81,453,2021-11-18,2020-02-09,2022-05-31,DHL,4738ec2c-7dfe-4ee7-ba7b-5a3cb8007921
82,776,2020-06-07,2022-11-27,,UPS,
83,1883,2020-06-21,2022-03-04,2022-07-16,DHL,9131c388-9d2c-4928-ab00-78aa1b09025a
84,1537,2022-06-02,2020-08-13,,Local Courier,bdfd26e0-4d17-45a8-b5ac-3ebe24dd5beb
85,2739,2023-02-25,2021-02-11,,USPS,
86,237,2023-10-03,2021-04-18,2021-12-21,UPS,a52c89d7-e4c1-486e-8582-716631ea427b
87,1725,2023-02-12,2023-04-14,,Local Courier,
88,2811,2022-03-14,2022-01-03,2020-07-06,Local Courier,
89,1149,2022-01-01,2022-12-04,2021-02-18,FedEx,f19f5b31-600c-4c40-b626-a8d48296bfb8
90,1072,2021-08-26,2020-09-29,2023-10-03,USPS,cc10b155-ea7e-4f4f-bb33-99d4c70b6a5c
91,87,2023-06-06,2022-09-04,2022-04-17,USPS,4076fa66-782e-4a3e-8c92-6e098aabce9c
92,1566,2020-05-18,2022-03-14,,DHL,
93,1713,2023-03-11,2022-10-25,2022-07-02,FedEx,
94,1749,2023-02-17,2020-03-04,2022-12-26,DHL,5ae5dba3-0d9e-42e8-bd57-3f4333272755
95,900,2021-10-29,2022-03-29,,FedEx,
96,2802,2023-03-17,2022-09-26,2021-08-03,Local Courier,52c3ef40-77e9-4a03-922c-ad8eb679fb76
97,2476,2023-06-02,2022-05-18,,Local Courier,2f96fe91-9c9e-4cee-863b-615332013161
98,1751,2020-05-11,2021-05-22,,USPS,
99,2071,2023-06-12,2020-10-08,,UPS,
100,187,2020-08-12,2020-03-15,2021-06-03,DHL,
101,79,2020-03-06,2023-08-14,2022-01-06,Local Courier,2c1924de-841d-4e88-b438-d5936ddd7f9a
102,482,2023-08-07,2023-10-26,2021-09-16,USPS,
103,919,2020-11-20,2023-11-23,2020-04-10,USPS,
104,2770,2021-07-08,2023-02-20,2023-08-05,Local Courier,
105,1160,2020-04-29,2023-06-03,,UPS,
106,1718,2022-04-15,2022-10-15,,DHL,
107,64,2022-02-22,2021-03-02,2020-08-17,DHL,
108,259,2021-12-09,2023-08-12,2021-05-26,Local Courier,430d7008-a010-4ead-850d-c1f8552fbd46
109,2971,2022-01-07,2020-02-17,,USPS,
110,2117,2020-01-31,2021-05-16,2023-04-10,USPS,
111,2123,2021-01-14,2022-04-04,2020-03-30,UPS,79e7c1c6-e610-4589-b334-df03d63751d3
112,1210,2021-01-29,2023-08-28,2021-04-27,DHL,
113,615,2022-01-02,2020-10-02,2022-07-13,Local Courier,5901c53a-9b28-4740-a54b-3cff6a37d4ad
114,778,2023-08-09,2021-03-30,2022-02-25,USPS,
115,1018,2022-10-24,2021-01-05,2020-07-08,UPS,473f0ec0-ad99-48b0-9357-5d98ccca4607
116,409,2022-11-19,2021-09-03,,UPS,303a362a-c3cd-4664-8867-8f38eafd1796
117,3058,2020-09-11,2023-10-31,,FedEx,
118,82,2023-10-23,2022-09-03,,UPS,
119,1229,2023-06-23,2020-10-18,2023-08-03,FedEx,1abb05cd-922d-483f-ae73-897384d2fa26
120,123,2022-05-15,2021-10-09,2020-08-25,USPS,
121,675,2022-09-12,2023-07-05,2023-02-15,USPS,22bf9ff3-3f75-442e-9fa6-370def26d5bc
122,623,2022-06-24,2020-10-22,2021-12-27,DHL,
123,559,2021-11-16,2020-08-29,,DHL,
124,304,2023-05-28,2022-06-18,,USPS,94093d4d-e501-4a6d-a46d-9aba88eb96d8
125,1258,2020-07-24,2022-07-28,,USPS,
126,1419,2021-02-10,2021-09-20,,USPS,
127,709,2022-08-20,2023-03-24,,DHL,
128,1918,2023-01-13,2021-09-24,,UPS,b8048640-a9a5-41c3-aca7-56a47137351e
129,662,2022-01-09,2021-02-21,,FedEx,52e38bfc-51af-4224-b5fd-ddea79dc13e5
130,2300,2022-02-21,2021-08-22,2022-08-17,UPS,
131,2379,2020-02-16,2023-06-04,,UPS,
132,539,2023-03-03,2023-04-20,,UPS,ff825dca-56a4-44a9-84e8-b1c228fdab15
133,566,2023-12-29,2023-11-29,,FedEx,9507025c-6ac1-4a5a-9e5f-5c4bcbd6d77f
134,2232,2022-12-21,2023-04-27,2023-12-03,DHL,9bf9e598-0109-4c9c-a36f-0b9f0b2251bf
135,2337,2023-10-30,2020-04-27,,USPS,
136,852,2021-02-20,2023-11-04,2022-01-14,Local Courier,8ca43288-4a4c-4fb3-b043-2e726e715e90
137,2497,2020-07-24,2020-08-28,2021-04-02,FedEx,
138,2065,2023-04-03,2021-08-15,,USPS,
139,257,2023-06-13,2022-03-04,2023-03-11,UPS,f16926ef-bf7e-49bf-984a-e91cdc4c5883
140,823,2021-05-10,2020-12-02,2023-10-04,DHL,27d2fac3-c110-4294-82a2-3cd63052e7bf
141,866,2022-11-19,2023-05-27,,DHL,7c6a43dd-041c-4865-ae5f-85e4a6f5ec38
142,904,2021-08-22,2022-09-05,2022-05-16,DHL,
143,267,2020-11-08,2023-03-05,2022-03-04,UPS,
144,1247,2021-08-22,2022-07-11,,Local Courier,991d7d90-ec27-4f94-84a8-d30f7588dfde
145,2322,2022-02-12,2022-07-20,2021-03-21,USPS,
146,737,2022-01-31,2020-05-08,,FedEx,
147,221,2021-11-09,2021-01-06,,Local Courier,
148,1258,2023-11-24,2023-11-17,,DHL,d8521b76-0580-4561-b719-b4d9ada459dd
149,1613,2023-06-26,2023-03-23,2022-12-29,FedEx,
150,1134,2023-12-22,2022-02-06,,FedEx,03ffc9a5-897a-40d7-830e-475fa8d1af72
151,26,2020-12-03,2023-07-08,2021-07-22,DHL,
152,3080,2023-03-01,2021-12-26,,USPS,e58e56ac-fcc3-4155-af03-24c1a892b903
153,479,2023-11-18,2022-06-22,2022-06-27,DHL,fd4656da-e3c3-4d31-b64f-63bbe1ffc597
154,2141,2022-11-09,2021-05-21,2023-07-26,DHL,35ba8641-cd27-4dbc-a17c-bd2acd1c9124
155,2810,2021-08-11,2023-10-09,,FedEx,4d5a76ef-8292-4591-b16a-f69dd4e0ecb3
156,1092,2022-07-27,2022-05-30,2023-04-29,UPS,e44e0ea6-51ca-4b32-9e29-875b3483f2dc
157,2221,2022-03-01,2022-06-11,2020-06-04,UPS,c8c51332-0adf-4ea1-b291-09f28442e387
158,2165,2020-01-01,2020-12-19,2020-06-09,DHL,cfb81b38-b708-47da-8184-6a272a6831e8
159,1732,2022-06-23,2023-07-19,2020-06-18,UPS,ef66cda8-8b7b-4afc-b709-77054931b0e1
160,1736,2020-05-29,2022-05-12,2021-11-16,DHL,
161,2440,2023-06-02,2020-03-26,2021-01-03,USPS,07d22384-0088-48b7-b40f-3bf51efb1337
162,1645,2020-02-01,2023-03-18,,Local Courier,
163,566,2022-05-17,2020-09-29,,DHL,ab252a7a-9638-47f0-bcdc-614dd8b74916
164,2901,2022-11-28,2022-09-18,,FedEx,63f7377e-01f1-476e-8184-98d0a5d9bb9a
165,603,2023-11-04,2021-04-12,,FedEx,5dca95ac-2116-402d-a9f8-0a63cda65b53
166,2280,2021-10-25,2023-06-25,,FedEx,
167,1768,2022-07-20,2023-11-09,2021-09-28,Local Courier,84ff6441-38d3-4cd8-bd9f-84d4cdc7eab0
168,1258,2022-03-09,2020-08-27,2021-09-05,DHL,b5f43c4b-29d5-4f69-a6e3-7145b76d9df0
169,834,2021-08-14,2021-10-25,2021-08-03,Local Courier,
170,1546,2021-07-06,2022-07-09,2023-03-31,DHL,8bdc1d45-2d46-401d-af8a-7ea42815c485
171,1567,2022-06-25,2022-01-10,2022-08-20,DHL,
172,2639,2022-05-20,2020-01-11,,UPS,
173,2245,2023-01-06,2020-04-18,,Local Courier,c45d8c9d-3110-4fa4-855f-8453fd39f963
174,1639,2023-11-08,2022-05-22,,Local Courier,bfec714b-fddf-4572-acc8-991ec532bb5b
175,534,2021-05-24,2021-04-06,,FedEx,
176,1444,2021-05-19,2021-03-05,2022-02-27,USPS,485abfbd-ee63-4451-aaec-5611c3e6f2f3
177,2155,2023-10-22,2022-02-13,,DHL,
178,1702,2022-05-25,2020-03-13,,Local Courier,0bd53127-9752-4dc8-a754-332510518919
179,720,2022-07-20,2022-06-08,,Local Courier,f3817196-5e04-4b3a-b4cf-80404a6feb73
180,2210,2022-01-31,2022-08-14,,FedEx,
181,952,2023-10-25,2023-04-08,2021-10-31,USPS,f6d2a5e8-8f71-4f60-b76c-f1296883c296
182,2578,2023-11-26,2022-04-25,2020-07-09,DHL,
183,1667,2022-07-11,2021-12-06,2023-05-11,UPS,
184,234,2022-11-29,2023-10-01,2022-04-09,FedEx,659d55ed-cb38-4b0f-86df-90329c37bb1d
185,630,2021-03-07,2020-03-26,,USPS,27afeb61-1921-477b-a6a1-a9885a107683
186,2774,2021-05-17,2023-02-14,,FedEx,728d03ef-b373-46fd-932c-f14faf14a80e
187,2816,2022-08-12,2023-05-22,,FedEx,fab0f4df-7434-45c3-82c6-ead3cc167ec3
188,1372,2021-01-31,2022-10-13,2023-05-17,Local Courier,
189,1038,2022-01-26,2020-06-06,,DHL,
190,3037,2021-07-17,2023-12-23,2020-02-10,USPS,3dbd1768-bf35-4694-986d-b1c0b6700dde
191,2808,2023-04-30,2021-12-11,,FedEx,
192,70,2022-08-07,2020-08-20,2021-12-29,USPS,
193,697,2022-05-24,2020-01-08,,USPS,
194,2938,2021-08-29,2021-04-01,2023-08-12,UPS,
195,1936,2023-12-11,2020-06-02,2023-01-28,Local Courier,
196,2188,2022-05-30,2021-05-15,,DHL,b53f39b9-4efd-4c45-bf28-f43e54208573
197,1457,2020-05-08,2022-03-14,,USPS,771dcb63-3534-4edc-a296-0c86a87f7e48
198,1217,2023-03-01,2020-07-06,2023-11-28,FedEx,8f2d4a56-7fff-4362-b5f0-88024a38b757
199,270,2022-10-10,2023-01-14,2023-03-02,FedEx,4c0c14ab-4389-4662-bcd8-4c315f0330a2
200,3025,2021-03-28,2022-12-19,,DHL,
201,2926,2021-10-30,2023-07-08,,FedEx,
202,1369,2020-09-07,2021-06-22,2020-10-02,USPS,
203,292,2020-09-06,2020-09-17,,DHL,27f53b71-6103-4bc6-a58c-abe072668904
204,612,2020-02-14,2022-02-16,,USPS,7337e509-76d9-4d5e-b247-4680577993d9
205,1253,2023-07-04,2021-06-24,,DHL,567296a3-93b4-4418-b2f6-76f1e383873a
206,1600,2022-09-02,2022-04-23,2023-11-11,UPS,
207,2900,2020-08-11,2022-07-19,2023-07-11,USPS,c64d683e-c144-44f7-b97a-7876f9f1de97
208,2279,2022-01-23,2023-03-13,2023-09-10,FedEx,f3082167-a567-4a3d-8da3-3dcfdf91641f
209,1575,2020-12-31,2020-05-11,,USPS,
210,2024,2022-02-24,2023-02-19,,FedEx,bf4aac46-3e9e-4ad6-adbc-0ddfda277b3c
211,1045,2023-05-09,2020-09-02,2020-07-22,USPS,4f5b38ec-f201-4fc6-a23f-4bec351aa0a7
212,3030,2020-03-20,2020-07-04,,Local Courier,
213,962,2020-02-24,2020-05-13,2021-01-08,USPS,33898213-7226-4ef0-a6bc-58120cb57e5d
214,818,2022-06-29,2023-09-27,2023-06-24,UPS,e1aeb474-ffca-4ddc-88a0-b94788e56d6f
215,1584,2020-11-24,2022-09-25,,USPS,
216,216,2021-08-22,2020-07-22,2022-09-05,FedEx,
217,1549,2022-12-22,2021-05-12,,USPS,
867,263,2020-01-29,2023-09-10,2021-11-20,FedEx,
218,1336,2022-06-25,2023-10-25,,FedEx,c05673f7-d6fd-4b28-8b9a-42055c0f4a9f
219,1219,2020-02-10,2020-09-07,2020-12-08,Local Courier,b26e0b4f-5b5e-4c18-8e62-94d77e0ee128
220,2010,2022-09-06,2021-01-14,2023-05-07,DHL,
221,2113,2023-11-03,2023-05-25,2022-03-24,FedEx,
222,561,2022-05-15,2020-04-13,2022-08-07,DHL,46af0b84-a014-4f0e-a164-4f7411ec4d55
223,165,2023-07-22,2020-06-09,2022-09-09,Local Courier,9eade390-7c8a-4f19-8dde-f3ae3a86985e
224,2759,2023-12-08,2020-04-01,2021-10-21,Local Courier,131835d9-f566-4083-bc2e-347723d3e42c
225,1986,2021-11-03,2022-09-01,2023-03-22,USPS,a9b81d7d-6cc9-4a23-98b2-f1118de48589
226,1029,2022-12-27,2020-12-26,2021-02-01,FedEx,
227,931,2021-01-01,2020-12-22,,DHL,0178cbd1-40d9-41d9-a91f-4c0fada019c3
228,1578,2022-05-23,2023-10-15,,UPS,
229,3062,2023-03-14,2020-10-14,2022-04-10,UPS,
230,1310,2022-07-05,2023-11-01,,USPS,
231,2154,2021-08-30,2022-01-25,2020-02-05,UPS,
232,1717,2021-03-26,2020-07-12,2022-04-09,USPS,9dc898a9-855c-4bb1-84e5-66b8ed5da16e
233,2884,2023-04-29,2020-05-24,,USPS,86503fec-5213-479b-ab4f-54cf315bceb6
234,2477,2020-10-07,2022-08-22,2023-03-20,Local Courier,12ae9d47-8e65-4cd5-bc39-71f34bcb9437
235,1368,2021-12-03,2020-08-10,2022-09-18,UPS,6c9d2957-2c80-416d-93ce-75970a2bc17f
236,1490,2023-04-09,2020-01-27,2021-12-19,UPS,
237,1522,2020-10-23,2021-12-18,,FedEx,87fe5a65-c1c1-4367-822f-36d027b1d6a1
238,1212,2021-01-13,2022-01-30,,FedEx,d1c7c383-2ba6-4295-bcbd-643cf7e7d83d
239,2410,2023-02-20,2023-02-11,2022-09-15,DHL,
240,2393,2023-11-14,2022-11-17,,Local Courier,
241,2261,2023-07-30,2021-08-07,2022-09-02,DHL,
242,2201,2020-09-01,2022-09-13,2021-12-18,DHL,f445e753-1868-49ef-b584-4c8d9d8260c5
243,2804,2023-06-29,2023-12-02,,Local Courier,f56aac44-f014-4d5e-a1c4-96530c0f0359
244,2587,2020-03-02,2022-06-11,2023-04-12,UPS,a93558c4-e13c-4250-aed2-519f59347152
245,1641,2023-01-03,2023-01-28,,UPS,
246,1920,2022-12-31,2023-05-03,,UPS,e37cf959-5430-4966-ad9f-4e7ece235b12
247,817,2021-10-09,2023-01-13,,Local Courier,
248,2221,2022-10-06,2022-02-11,,DHL,
249,572,2020-06-07,2020-10-15,,Local Courier,07ebbe87-d5f1-49e8-8d93-c17d3ae00f91
250,380,2022-10-17,2021-04-13,2020-07-06,FedEx,
251,2732,2022-01-26,2022-02-03,2020-12-13,FedEx,0d04e7a3-406f-46f8-9fe5-41afb02517e5
252,549,2020-04-10,2020-01-04,,DHL,
253,2746,2020-01-03,2022-06-15,2022-01-26,DHL,
254,108,2022-01-16,2022-12-04,2021-01-29,DHL,441af54c-aa42-43a9-bad3-0c45bf542dcf
255,125,2021-03-20,2020-05-25,2020-03-20,DHL,58e8ae80-5f34-4f72-bb80-8054a7abc0a2
256,2027,2021-01-23,2023-05-21,,DHL,be4f466c-c217-4950-9146-e184ca1d7150
257,615,2021-06-17,2023-08-11,,Local Courier,
258,2813,2022-05-28,2020-10-24,2020-12-03,FedEx,e2da68d7-7855-4443-b516-1488e8b408fa
259,1314,2022-06-13,2022-03-29,,FedEx,
260,1750,2023-08-21,2022-04-01,2021-07-12,Local Courier,189e7c1f-b755-4f5a-86a5-698184e714c9
261,2568,2021-04-01,2022-02-22,,Local Courier,598ffb11-7c8b-44ab-9264-584879518d9b
262,2640,2021-08-15,2021-12-03,,USPS,
263,2378,2022-07-28,2020-12-31,2022-05-14,USPS,
264,817,2022-02-22,2021-11-24,2021-05-27,USPS,
265,576,2022-09-27,2021-12-09,2023-09-08,UPS,834f3537-6b04-47e4-b72c-3eb989f98a79
266,823,2020-03-21,2020-01-18,2022-05-16,DHL,39006b4c-3e4c-471d-8381-b3d7379770ed
267,223,2023-10-27,2021-03-24,,FedEx,882ac87e-e663-4801-bf89-e4cab8d58c50
268,544,2021-09-21,2023-01-16,,Local Courier,
269,999,2021-01-12,2023-03-08,2023-05-10,Local Courier,
270,1725,2023-06-16,2021-11-09,2020-01-08,Local Courier,06459bd4-f042-4179-bb28-1730db4c094b
271,2677,2021-06-11,2022-08-25,2023-12-26,FedEx,2d459330-8e64-4c40-ad99-c0f81ea7f92b
272,1733,2022-06-01,2021-10-26,2023-06-29,FedEx,
273,1923,2022-11-29,2021-10-02,,DHL,
274,366,2021-03-09,2021-09-11,,UPS,27b18910-9a0d-483c-89e4-edee4cc989e2
275,1914,2021-12-08,2023-02-13,2023-02-15,USPS,5c04ff35-e999-4332-8616-33b0ddabc12b
276,2990,2020-10-27,2023-01-12,2023-04-15,DHL,
277,2677,2021-12-06,2020-08-19,2021-07-06,UPS,dc0f1eaf-5005-46cc-aadd-0b6e26abe680
278,1852,2021-04-02,2021-02-03,2023-07-06,UPS,1f722f2a-c103-4321-82d8-bc58384f7204
279,1278,2022-01-20,2023-09-12,,FedEx,
280,2337,2021-02-09,2021-01-29,2021-11-24,UPS,20194e33-1249-4efd-8bc7-17a5ca292b12
281,2077,2022-08-12,2020-01-06,2020-07-29,FedEx,
282,841,2021-12-08,2020-07-25,2020-06-16,FedEx,
283,1139,2022-10-15,2022-12-26,,UPS,
284,990,2022-04-26,2022-01-17,,UPS,cea16792-12d9-4389-bae9-9a1f7979f9cd
285,989,2020-06-14,2021-10-10,2021-10-29,DHL,
286,1788,2021-01-18,2022-02-26,2020-03-18,Local Courier,
287,2982,2023-01-29,2022-09-11,2023-10-22,UPS,6c45daff-3720-4422-bd82-d5ffc303290a
288,2539,2023-08-05,2023-07-23,2023-07-24,USPS,
289,1205,2022-03-08,2020-04-06,2020-07-25,DHL,
290,652,2021-12-04,2021-05-01,,FedEx,ebd36cb6-5b97-4318-aff2-2127445a8c2c
291,2104,2020-10-10,2023-09-04,2021-10-17,Local Courier,
292,1653,2022-02-05,2022-11-24,2021-12-08,USPS,
293,171,2021-09-15,2023-10-12,,DHL,
294,403,2022-10-04,2020-02-07,,USPS,
295,1069,2021-11-10,2021-02-17,,UPS,
296,1364,2023-03-03,2021-11-12,2023-06-30,UPS,
297,1755,2023-11-30,2020-06-16,,USPS,c06e60ae-5bbc-49c5-84a1-fdf0748ae7db
298,2061,2020-06-27,2020-09-15,2022-01-21,DHL,9d63376c-cc16-4f30-8bea-1b0bbb6bb68b
299,1510,2023-03-26,2021-09-11,,UPS,8555d4ee-45ae-4d25-ab8b-a7616bd6d64d
300,2326,2023-02-04,2022-02-25,2022-11-02,FedEx,a4b9ea31-eab1-4b22-93a9-0184d2cc8d02
301,1803,2021-03-03,2021-11-01,2020-07-06,DHL,8d4a8ecd-15c7-4ca3-af54-ce8f9a085178
302,3082,2022-07-05,2021-06-24,2020-03-16,UPS,
303,846,2021-09-25,2022-09-06,,Local Courier,
304,833,2021-06-09,2020-03-25,2021-04-19,USPS,
305,1903,2022-06-24,2022-09-11,2020-03-02,USPS,
306,2103,2022-09-26,2020-07-23,,DHL,0071fed0-e297-496e-b28b-c2d7db357579
307,649,2023-03-21,2020-11-28,2020-11-01,Local Courier,
308,1836,2022-04-16,2023-06-18,2020-07-02,FedEx,50f56eb6-42fe-401a-a781-fbca595b6c69
309,265,2020-11-08,2023-10-21,,DHL,
310,1703,2023-12-19,2023-06-02,2023-04-28,FedEx,
311,3027,2023-09-24,2020-11-05,,FedEx,e9d5196e-cd9b-4f3a-aca2-d939120290c3
312,1892,2021-02-18,2020-02-07,,UPS,
313,3071,2023-07-25,2021-07-18,2023-10-22,USPS,
314,601,2023-03-11,2021-02-27,2021-11-04,UPS,50ea4e66-ead1-44a4-8e83-a80b4737bb45
315,799,2022-12-26,2020-12-28,2023-10-11,UPS,cd6342ee-2f3b-4810-a1f8-dd6e76e562a8
316,1644,2020-11-02,2020-04-10,2020-05-12,USPS,2c9f82bb-8e25-4e64-88ec-31b73ba15fd9
317,2236,2021-09-13,2022-10-16,,UPS,e7099538-99af-4dcd-b426-9dc22a67a6b2
318,1980,2022-01-21,2023-04-11,2023-03-18,Local Courier,
319,1536,2021-11-10,2022-11-16,2023-02-04,FedEx,
320,1238,2021-01-15,2021-10-16,2020-05-12,UPS,8afebb30-4cfd-42c7-8324-d787b2e9af94
321,1559,2021-12-28,2021-12-04,2020-01-14,FedEx,a4d89fca-5860-4a46-bd48-f8cea4376618
322,945,2021-07-23,2020-12-14,,USPS,8cc2f01e-8d4b-4964-940f-c9235c749c93
323,807,2022-03-20,2022-02-27,,Local Courier,
324,259,2021-06-17,2021-09-16,,USPS,34dd25a4-3bcf-4d79-a068-7cecaa9c1b2b
325,1909,2023-06-26,2021-05-05,,FedEx,
1406,3011,2021-10-10,2023-01-05,2022-09-19,FedEx,
326,2016,2022-12-02,2020-05-29,2022-11-06,FedEx,03f5b6ba-ac3c-41b5-a91b-b65e1b5e8b4f
327,523,2020-09-20,2021-11-12,2023-06-24,DHL,
328,2388,2022-04-30,2020-10-16,,Local Courier,
329,2360,2021-10-21,2020-03-10,,DHL,
330,121,2022-02-19,2022-12-20,,UPS,eab6a91f-2f17-4c59-a77c-27b9673b609d
331,115,2020-01-21,2021-12-28,,FedEx,
332,2466,2022-07-30,2020-03-18,2021-03-29,FedEx,1935e1ab-c8fb-461a-aa13-5d22a11ca892
