returnid,orderid,productid,returndate,returnreason,refundamount
52,1060,2721,2021-04-13,Other,432.36
53,419,2161,2022-08-03,Other,748.99
54,2244,1642,2022-07-27,Damaged,854.16
55,1142,1992,2021-10-18,Wrong Item,72.00
56,2942,2832,2021-03-10,Damaged,772.28
57,3077,2430,2022-05-30,Wrong Item,951.94
58,3084,1503,2023-09-23,Damaged,430.23
59,828,350,2021-02-21,Other,557.27
60,917,132,2021-09-08,Other,858.76
61,1737,1498,2020-04-06,Other,599.83
62,172,1012,2023-11-09,Other,313.32
63,2013,1157,2021-10-01,Damaged,930.00
64,822,1535,2022-06-15,Wrong Item,116.35
65,1884,950,2022-05-25,Other,560.43
66,1296,36,2023-05-16,Other,675.62
67,1452,1801,2023-12-27,Other,63.76
68,3050,2499,2023-12-24,Other,325.06
69,2095,1573,2023-05-11,Wrong Item,698.22
70,2088,521,2021-09-24,Damaged,429.45
71,1293,2964,2022-03-15,Wrong Item,56.58
72,2068,1441,2022-10-10,Wrong Item,134.86
73,1504,848,2023-12-22,Other,956.17
74,2657,2910,2022-08-05,Damaged,906.56
75,2055,469,2020-03-30,Wrong Item,75.56
76,2142,279,2020-11-24,Other,986.81
77,735,919,2023-07-01,Not as Described,706.83
78,2819,919,2022-06-27,Other,274.71
79,443,1442,2020-03-17,Not as Described,573.94
80,151,1583,2021-08-08,Not as Described,992.90
81,2779,1142,2020-01-08,Not as Described,805.59
82,2784,149,2020-07-20,Damaged,48.39
83,1263,2679,2020-11-14,Wrong Item,612.81
84,2556,2590,2023-03-28,Other,248.41
85,640,447,2020-11-18,Not as Described,560.91
86,1202,2816,2023-09-08,Damaged,768.54
87,921,2627,2021-03-27,Damaged,132.41
88,2768,2328,2020-02-11,Damaged,683.94
89,1369,91,2021-06-05,Wrong Item,190.69
90,842,2300,2022-11-27,Damaged,224.80
91,1213,1372,2022-05-18,Damaged,667.28
92,1882,2652,2023-01-20,Wrong Item,769.33
93,1212,2464,2023-12-17,Damaged,162.69
94,1133,1047,2020-03-10,Wrong Item,493.61
95,906,1952,2022-01-01,Other,381.84
96,95,594,2021-05-09,Damaged,535.33
97,2248,996,2021-11-29,Not as Described,178.81
98,2271,2117,2021-04-29,Damaged,563.53
99,2365,2008,2022-04-28,Wrong Item,857.29
100,2244,1993,2021-02-04,Wrong Item,278.66
101,1708,1602,2021-06-24,Damaged,283.04
102,2858,866,2021-02-28,Damaged,882.84
103,393,1129,2021-10-26,Damaged,981.87
104,2819,1865,2021-02-23,Wrong Item,776.79
105,1326,1998,2020-03-14,Not as Described,558.21
106,1585,321,2023-10-13,Not as Described,525.87
107,2216,112,2023-06-18,Wrong Item,404.49
108,1066,2304,2023-06-25,Wrong Item,440.83
109,226,1870,2020-07-03,Wrong Item,602.10
110,2095,1350,2021-06-04,Not as Described,993.79
111,1523,2681,2020-11-16,Other,73.85
112,719,2242,2021-06-27,Damaged,458.76
113,2367,2653,2020-07-26,Not as Described,558.90
114,81,2731,2021-11-24,Wrong Item,190.38
115,62,2933,2022-05-25,Wrong Item,973.49
116,491,32,2023-01-26,Other,392.91
117,475,290,2020-10-01,Damaged,373.06
118,1593,2723,2021-04-22,Damaged,764.79
119,397,689,2021-09-27,Wrong Item,695.42
120,1411,1602,2021-08-12,Other,333.92
121,2809,225,2021-09-14,Damaged,578.65
122,1304,2395,2021-07-26,Not as Described,856.29
123,1841,1053,2021-12-24,Not as Described,725.16
124,1189,242,2022-09-03,Not as Described,585.98
125,2491,2114,2021-05-06,Other,95.36
126,2880,2697,2020-09-19,Wrong Item,453.22
127,1015,1222,2023-04-16,Wrong Item,202.77
128,2243,2393,2021-08-04,Other,651.58
129,2437,2061,2020-05-17,Other,917.82
130,1285,1577,2021-04-13,Other,637.81
131,1322,2416,2020-01-22,Wrong Item,381.22
132,1091,808,2020-06-06,Damaged,76.01
133,1245,1286,2022-03-12,Other,607.70
134,2259,2050,2020-10-29,Wrong Item,675.53
135,1384,2569,2022-04-25,Wrong Item,366.21
136,1707,1062,2023-03-11,Wrong Item,175.65
137,2678,2728,2021-09-03,Damaged,766.73
138,1864,1002,2021-06-29,Other,911.79
139,290,2404,2021-12-30,Damaged,440.66
140,1202,2816,2023-07-26,Wrong Item,398.81
141,91,1532,2020-12-06,Wrong Item,938.30
142,2313,1922,2023-12-13,Damaged,649.47
143,3011,1105,2021-10-08,Wrong Item,297.62
144,1285,1577,2020-09-12,Wrong Item,365.19
145,1335,1793,2022-03-07,Other,220.17
146,2245,2439,2022-11-18,Wrong Item,869.95
147,328,887,2020-02-17,Not as Described,995.16
148,1802,2565,2022-01-26,Not as Described,577.65
149,2249,1104,2023-11-13,Not as Described,555.17
150,1024,572,2020-01-14,Not as Described,402.38
151,2733,1944,2022-11-24,Other,326.59
152,838,2803,2020-04-09,Damaged,543.92
153,2063,3067,2022-07-13,Wrong Item,266.36
154,2196,1110,2021-12-27,Wrong Item,543.19
155,36,1177,2022-07-25,Wrong Item,410.81
156,3092,1292,2022-09-10,Wrong Item,625.45
157,1966,991,2021-10-16,Wrong Item,938.68
158,477,625,2020-10-11,Not as Described,758.32
159,695,2470,2023-09-20,Damaged,125.33
160,2943,1025,2020-07-29,Wrong Item,260.87
161,2555,1451,2023-08-25,Not as Described,543.06
162,421,3041,2022-09-19,Damaged,380.69
163,1079,1121,2021-03-29,Other,564.93
164,2655,2951,2022-10-29,Not as Described,177.68
165,1429,3090,2021-07-05,Wrong Item,115.91
166,3012,823,2022-02-07,Wrong Item,473.94
167,2474,2471,2020-01-07,Damaged,479.16
168,2251,911,2023-04-02,Wrong Item,856.14
169,1400,72,2020-10-31,Damaged,886.46
170,1399,1041,2020-09-08,Damaged,719.34
171,2442,1524,2022-05-04,Other,348.40
172,997,1652,2020-01-03,Other,812.26
173,2194,1163,2022-08-30,Damaged,846.34
174,2112,1592,2020-01-21,Wrong Item,654.37
175,361,2621,2021-11-20,Not as Described,795.29
176,848,28,2020-09-28,Wrong Item,310.59
177,2849,2552,2021-10-05,Damaged,278.39
178,2442,1524,2021-06-17,Other,503.23
179,1937,2841,2021-11-17,Damaged,891.16
180,75,2146,2023-11-14,Other,512.83
181,916,2126,2021-08-20,Other,936.72
182,2017,2224,2023-06-24,Damaged,928.12
183,1341,2112,2023-04-05,Damaged,107.32
184,1871,1651,2022-06-21,Damaged,571.94
185,39,2886,2021-02-12,Other,607.60
186,1536,1065,2020-04-03,Other,359.69
187,1722,1204,2020-01-29,Damaged,205.10
188,1506,2034,2021-06-07,Other,489.18
189,397,1487,2020-02-18,Wrong Item,693.07
190,1144,2830,2021-03-06,Damaged,154.92
191,593,1181,2021-05-20,Other,968.21
192,2960,1988,2023-07-05,Damaged,407.67
193,1119,998,2023-07-11,Wrong Item,738.29
194,2040,2249,2022-09-26,Wrong Item,685.27
195,2571,770,2021-06-19,Not as Described,913.78
196,550,2869,2020-08-31,Other,551.76
197,2339,1529,2020-09-21,Other,126.62
198,1114,1467,2020-07-11,Other,634.00
199,2648,1707,2023-06-13,Other,771.75
200,37,1485,2022-05-02,Damaged,46.46
201,2192,2519,2021-10-09,Not as Described,670.74
202,679,1281,2021-06-03,Not as Described,396.15
203,2012,2631,2022-02-27,Not as Described,598.53
204,2005,898,2021-02-21,Not as Described,753.78
205,2059,287,2021-11-23,Not as Described,842.57
206,588,756,2021-06-14,Not as Described,256.88
207,2104,2762,2021-03-06,Other,276.99
208,310,1467,2023-02-21,Damaged,314.37
209,442,3059,2023-04-11,Other,36.74
210,2203,949,2022-02-07,Wrong Item,154.00
211,107,2713,2023-12-12,Other,643.16
212,508,1944,2020-10-17,Wrong Item,909.87
213,2585,2050,2020-09-07,Not as Described,203.23
214,768,1148,2021-12-27,Other,478.64
215,666,2928,2020-01-25,Wrong Item,550.53
216,2074,167,2020-10-23,Wrong Item,907.91
217,2088,521,2022-10-14,Wrong Item,564.52
218,905,1184,2023-06-20,Other,285.28
219,2943,1448,2021-03-08,Not as Described,231.75
220,2907,2072,2022-09-22,Wrong Item,69.16
221,2934,1759,2020-03-21,Not as Described,793.39
222,425,2701,2021-05-31,Other,442.17
223,596,2092,2023-08-16,Damaged,487.91
224,2686,2547,2020-07-09,Damaged,286.57
225,694,575,2020-07-10,Other,766.37
226,1763,2042,2021-07-23,Damaged,155.90
227,267,1479,2022-07-14,Wrong Item,269.56
228,1865,768,2022-09-16,Wrong Item,457.10
229,1384,2983,2022-10-21,Not as Described,967.75
230,2862,66,2022-06-30,Other,441.89
231,2706,401,2023-09-25,Wrong Item,675.70
232,2645,2265,2020-03-05,Wrong Item,194.75
233,1742,2327,2023-10-27,Not as Described,156.66
234,744,1065,2022-09-21,Damaged,76.58
235,1931,1876,2022-01-01,Not as Described,643.09
236,735,1885,2023-05-19,Other,578.53
237,886,1325,2023-09-06,Damaged,399.27
238,1202,2682,2023-02-16,Damaged,787.91
239,1808,358,2021-04-17,Damaged,492.16
240,1606,2763,2023-12-15,Wrong Item,679.05
241,834,870,2021-05-22,Damaged,100.67
242,1202,2682,2023-08-15,Not as Described,783.62
243,2040,2249,2021-05-27,Damaged,101.97
244,1845,1295,2020-08-22,Other,215.61
245,2502,2340,2022-09-04,Damaged,570.40
246,2757,2689,2021-01-08,Damaged,767.60
247,2424,296,2023-12-25,Wrong Item,592.81
248,801,2666,2021-07-16,Damaged,829.29
249,2700,2513,2020-05-11,Other,339.12
250,1168,213,2023-08-30,Not as Described,543.87
251,2053,407,2023-05-24,Other,436.76
252,2361,651,2022-07-22,Not as Described,362.21
253,416,304,2023-05-18,Not as Described,990.81
254,750,2683,2021-04-03,Other,165.99
255,1245,644,2022-01-10,Damaged,845.35
256,1363,1616,2021-12-17,Wrong Item,637.83
257,738,334,2021-03-18,Other,332.88
258,2740,2671,2021-07-18,Wrong Item,574.00
259,2480,1393,2022-08-27,Not as Described,709.92
260,1434,1903,2023-02-15,Damaged,835.15
261,1243,2918,2020-06-12,Damaged,879.21
262,403,2490,2023-04-26,Wrong Item,823.34
263,2657,2910,2021-05-22,Other,608.94
264,426,2958,2020-08-04,Wrong Item,973.05
265,868,2599,2022-03-20,Not as Described,482.36
266,1474,2170,2020-07-15,Other,938.46
267,2068,1441,2023-09-06,Wrong Item,620.77
268,938,401,2023-10-25,Not as Described,937.33
269,2029,3037,2023-06-09,Wrong Item,886.32
270,1133,1047,2020-09-27,Not as Described,162.09
271,2546,1856,2021-06-04,Damaged,542.66
272,2650,2484,2023-04-03,Damaged,821.27
273,3050,371,2022-01-14,Other,891.91
274,1201,132,2023-03-20,Wrong Item,364.52
275,1396,2444,2020-05-18,Damaged,486.30
276,2450,2165,2023-07-08,Other,925.29
277,1046,1971,2020-09-02,Other,741.07
278,92,1432,2022-07-19,Not as Described,461.70
279,326,815,2021-04-07,Not as Described,950.46
280,254,2819,2022-10-31,Other,325.76
281,122,2421,2021-08-12,Other,36.21
282,752,3042,2022-07-28,Wrong Item,357.20
283,780,890,2021-11-28,Damaged,189.24
284,397,689,2023-07-31,Damaged,481.94
285,2731,2568,2020-07-02,Not as Described,145.58
286,1133,1047,2023-11-25,Wrong Item,754.07
287,1928,2421,2023-10-27,Damaged,456.89
288,1234,1179,2021-07-31,Other,262.55
289,997,1652,2022-07-05,Other,414.54
290,133,590,2020-11-14,Damaged,31.52
291,72,512,2023-09-24,Other,576.46
292,1638,850,2023-05-09,Wrong Item,512.68
293,465,823,2021-11-08,Damaged,254.73
294,715,1105,2022-05-21,Not as Described,684.77
295,3082,957,2021-02-04,Wrong Item,495.64
296,933,2258,2023-08-29,Damaged,42.69
297,1876,1357,2022-05-08,Not as Described,481.19
298,2914,6,2020-05-25,Damaged,432.71
299,3041,2368,2023-08-31,Wrong Item,287.71
300,2480,1503,2021-06-07,Not as Described,541.41
301,590,2239,2020-03-19,Other,228.86
302,277,196,2022-08-10,Damaged,737.14
303,1104,1421,2020-02-10,Other,163.94
304,2059,389,2022-01-30,Damaged,502.60
305,2550,2022,2020-10-07,Not as Described,215.60
306,2999,1572,2022-10-13,Not as Described,813.67
307,2439,1409,2022-10-10,Other,644.02
308,1094,2202,2022-05-06,Not as Described,33.03
309,868,2775,2020-09-16,Other,137.56
310,250,2295,2022-10-21,Other,278.88
311,1909,2017,2022-02-18,Not as Described,902.57
312,1578,526,2021-06-04,Not as Described,663.24
313,1182,360,2023-10-29,Damaged,22.94
314,439,3098,2023-03-05,Other,43.06
315,596,2092,2023-04-25,Damaged,885.93
316,1907,35,2023-11-27,Wrong Item,564.22
317,2573,2638,2020-07-14,Wrong Item,16.86
318,1385,1031,2021-08-18,Damaged,931.28
319,723,655,2021-12-29,Other,126.29
320,1202,1913,2020-11-09,Not as Described,933.61
321,2489,1267,2020-12-10,Wrong Item,531.89
322,962,1379,2021-05-29,Not as Described,146.70
323,1538,37,2021-11-17,Other,740.92
324,277,208,2020-03-07,Damaged,303.31
325,175,2468,2023-06-16,Damaged,802.19
326,2118,2403,2021-05-07,Not as Described,170.13
327,2555,1563,2020-05-26,Wrong Item,355.10
328,2703,1270,2023-06-02,Other,904.34
329,710,2082,2021-09-08,Damaged,863.43
330,1358,2503,2022-11-08,Damaged,446.47
331,576,2157,2022-04-22,Damaged,429.13
332,2079,3014,2020-06-15,Not as Described,225.61
333,1606,2763,2022-05-19,Wrong Item,524.58
334,1990,1038,2023-05-30,Other,513.92
335,2882,1151,2023-11-13,Other,484.99
336,1802,2565,2021-04-25,Other,365.24
337,2777,1960,2020-02-19,Wrong Item,449.24
338,440,270,2023-10-19,Wrong Item,626.08
339,2379,366,2022-07-20,Not as Described,474.20
340,887,888,2020-04-02,Wrong Item,789.74
341,1411,1602,2023-04-09,Wrong Item,78.76
342,758,628,2020-05-11,Damaged,865.61
343,1460,2840,2022-08-31,Wrong Item,356.71
344,361,2621,2022-10-25,Wrong Item,205.19
345,2925,969,2021-05-04,Damaged,180.67
346,3080,1140,2021-07-21,Damaged,743.53
347,1467,2162,2020-05-30,Damaged,824.90
348,1358,745,2020-05-01,Damaged,61.53
349,1857,3018,2020-10-06,Not as Described,29.94
350,2619,1261,2023-07-31,Other,35.02
351,1284,2425,2022-03-19,Not as Described,138.09
352,1466,2685,2021-08-08,Damaged,697.77
353,346,430,2023-08-30,Wrong Item,930.71
354,1538,1383,2020-05-27,Other,16.66
355,799,1780,2023-11-07,Other,485.01
356,680,536,2022-12-17,Not as Described,701.81
357,2079,3014,2020-01-03,Not as Described,212.52
358,2862,2536,2021-04-02,Other,564.96
359,1288,2020,2021-09-12,Other,126.49
360,616,2729,2023-10-12,Not as Described,396.04
361,330,1010,2022-08-30,Damaged,124.18
362,797,1068,2022-10-06,Other,935.39
363,2716,600,2020-07-03,Other,825.57
364,1950,764,2023-02-07,Damaged,780.62
365,35,2693,2020-02-12,Not as Described,92.53
366,961,1847,2023-01-19,Other,889.52
367,709,2462,2023-06-01,Wrong Item,230.32
368,1501,2380,2023-10-10,Wrong Item,983.93
369,2776,1787,2021-12-18,Not as Described,107.04
370,1906,3024,2021-09-04,Damaged,642.99
371,1406,31,2021-12-04,Not as Described,363.44
372,2356,2383,2021-04-26,Wrong Item,779.03
373,1477,405,2022-05-28,Damaged,207.47
374,2198,569,2022-03-19,Damaged,465.50
375,1866,232,2020-02-28,Wrong Item,309.31
376,2313,71,2020-01-21,Not as Described,746.93
377,2550,2022,2021-10-10,Not as Described,946.23
378,2796,2313,2022-11-03,Wrong Item,283.16
379,2703,1270,2021-06-06,Not as Described,911.32
380,768,1148,2020-05-20,Damaged,298.66
381,381,10,2021-08-09,Wrong Item,562.85
382,1983,33,2022-08-16,Not as Described,887.31
383,961,1847,2021-11-12,Not as Described,328.73
384,210,2948,2021-01-24,Wrong Item,590.75
385,113,262,2022-07-19,Other,212.64
386,2069,2821,2021-11-05,Other,977.64
387,3082,957,2023-02-20,Not as Described,615.73
388,1146,2892,2021-10-19,Not as Described,445.81
389,511,1181,2020-12-30,Wrong Item,67.64
390,2315,405,2023-04-09,Other,165.71
391,1854,517,2021-03-05,Damaged,618.59
392,2330,1574,2020-10-30,Wrong Item,655.13
393,3067,88,2021-03-18,Other,941.45
394,2627,2473,2023-05-08,Damaged,490.74
395,1660,1371,2021-03-24,Wrong Item,71.82
396,3096,2056,2020-11-26,Not as Described,488.10
397,1690,3068,2022-03-29,Damaged,864.48
398,2728,457,2022-10-14,Damaged,586.49
399,2154,280,2022-12-18,Not as Described,277.00
400,2025,2625,2021-10-31,Wrong Item,714.65
401,2272,1918,2023-02-18,Damaged,162.87
402,96,3003,2022-06-22,Damaged,374.94
403,1206,487,2020-09-10,Not as Described,238.09
404,2127,313,2023-04-18,Not as Described,595.90
405,2441,2345,2023-01-03,Wrong Item,696.40
406,828,350,2020-06-20,Damaged,44.64
407,25,209,2021-02-07,Wrong Item,886.21
408,3044,2009,2021-05-06,Not as Described,401.65
409,82,2803,2020-07-23,Not as Described,785.07
410,1539,2260,2022-07-01,Damaged,796.25
411,1379,1595,2022-06-30,Other,865.38
412,1979,2036,2022-10-12,Not as Described,302.52
413,1674,2514,2022-04-24,Wrong Item,165.54
414,469,1008,2020-06-15,Not as Described,230.70
415,2109,949,2020-11-04,Other,187.81
416,2620,578,2022-07-12,Not as Described,344.46
417,2857,1392,2021-12-15,Other,704.97
418,2654,2223,2023-07-15,Damaged,846.57
419,967,2849,2020-06-29,Wrong Item,556.23
420,1885,1167,2021-05-11,Not as Described,168.19
421,1225,380,2022-02-07,Other,271.82
422,2762,2005,2020-01-01,Wrong Item,714.94
423,2994,2897,2020-12-10,Other,92.58
424,1017,2647,2021-11-05,Not as Described,762.34
425,1746,1081,2022-01-27,Other,218.65
426,588,756,2021-08-31,Not as Described,262.51
427,541,338,2021-05-30,Damaged,967.69
428,1302,2963,2022-11-01,Damaged,118.41
429,2726,3067,2020-05-22,Wrong Item,849.17
430,885,1185,2023-10-17,Not as Described,218.05
431,1143,1562,2020-10-21,Damaged,69.58
432,2296,1927,2021-05-12,Damaged,287.48
433,2109,949,2023-04-05,Not as Described,904.94
434,2528,1400,2021-04-09,Wrong Item,158.17
435,1254,306,2021-07-31,Not as Described,530.11
436,638,490,2020-05-20,Not as Described,362.35
437,2097,755,2023-09-01,Damaged,748.81
438,1669,1687,2020-10-17,Not as Described,107.00
439,1384,1121,2023-05-31,Other,56.99
440,2112,2064,2020-08-04,Other,407.90
441,999,361,2023-11-09,Wrong Item,470.04
442,310,1233,2020-03-27,Not as Described,650.78
443,1502,212,2022-09-20,Wrong Item,255.29
444,1639,949,2021-03-04,Wrong Item,844.17
445,2667,2655,2022-12-28,Damaged,442.74
446,304,2332,2021-01-20,Damaged,761.94
447,1844,592,2020-08-06,Other,940.18
448,430,1971,2023-11-12,Not as Described,183.14
449,1180,787,2023-05-26,Wrong Item,169.06
450,838,2803,2021-04-10,Other,26.90
451,1200,486,2022-12-02,Damaged,581.99
452,1861,2783,2023-05-16,Not as Described,173.76
453,2128,1204,2023-08-25,Not as Described,286.14
454,1406,31,2022-08-12,Not as Described,474.10
455,719,2782,2021-11-19,Wrong Item,448.59
456,127,400,2021-12-10,Other,712.18
457,1936,842,2022-12-25,Not as Described,711.05
458,2733,2738,2021-05-16,Not as Described,744.38
459,1633,701,2020-11-11,Other,827.31
460,1542,625,2021-05-19,Damaged,871.17
461,1732,189,2023-01-02,Not as Described,110.21
462,509,2359,2020-02-12,Damaged,34.82
463,439,3098,2023-03-12,Other,603.82
464,1624,2895,2020-09-15,Wrong Item,67.44
465,2853,2926,2022-06-01,Damaged,940.23
466,2290,952,2022-01-17,Damaged,671.16
467,2504,2222,2023-03-21,Wrong Item,881.86
468,2545,1219,2022-11-16,Damaged,244.45
469,2727,2260,2020-09-25,Other,747.44
470,1994,1677,2022-01-05,Damaged,140.25
471,1064,2163,2022-12-31,Wrong Item,513.53
472,1972,1566,2021-01-23,Not as Described,825.01
473,1524,1262,2020-06-07,Other,730.62
474,1454,2844,2020-10-05,Wrong Item,377.10
475,1066,2304,2020-02-16,Wrong Item,103.43
476,730,2944,2020-10-07,Not as Described,774.09
477,1483,2837,2021-08-01,Wrong Item,492.06
478,611,186,2023-09-27,Wrong Item,184.40
479,2769,1761,2023-02-25,Damaged,750.83
480,535,2909,2022-08-30,Damaged,825.08
481,887,1952,2020-08-03,Wrong Item,713.20
482,1985,1904,2021-12-06,Wrong Item,466.73
483,2472,1900,2021-12-21,Not as Described,622.06
484,69,2067,2023-09-03,Damaged,180.31
485,181,1608,2020-01-28,Wrong Item,565.65
486,943,1913,2022-07-05,Damaged,384.00
487,2541,2399,2022-12-10,Wrong Item,33.95
488,497,1864,2023-09-10,Wrong Item,707.99
489,772,720,2023-11-19,Wrong Item,788.68
490,1427,1136,2020-02-28,Wrong Item,279.62
491,3040,826,2020-06-28,Not as Described,350.19
492,1079,3004,2021-08-11,Damaged,497.21
493,1020,2661,2021-05-21,Damaged,948.73
494,2214,254,2022-09-07,Not as Described,155.26
495,870,1771,2023-04-12,Not as Described,244.74
496,554,2018,2023-12-23,Not as Described,205.57
497,2759,1584,2020-01-06,Not as Described,932.22
498,988,2495,2020-09-21,Damaged,298.65
499,1830,2310,2021-09-18,Not as Described,93.64
500,391,1257,2022-03-02,Not as Described,12.78
501,2020,813,2023-10-05,Not as Described,20.40
502,2826,242,2023-02-23,Wrong Item,154.88
503,2706,740,2021-06-03,Wrong Item,135.27
504,728,576,2023-11-08,Other,25.00
505,620,2188,2022-11-07,Not as Described,97.53
506,998,2263,2021-07-31,Wrong Item,575.21
507,3018,2164,2022-11-25,Other,865.77
508,443,37,2022-08-09,Damaged,919.53
509,2118,2403,2023-09-23,Wrong Item,852.83
510,1092,225,2021-11-17,Not as Described,763.76
511,3041,1163,2022-02-08,Other,198.18
512,2185,2228,2020-05-19,Not as Described,379.23
513,2189,1104,2022-12-21,Not as Described,923.61
514,1307,827,2023-06-04,Other,108.98
515,504,2452,2023-11-12,Damaged,265.21
516,2434,1338,2023-04-09,Damaged,434.44
517,462,858,2022-12-27,Other,733.05
518,1280,2636,2021-03-21,Not as Described,718.25
519,978,777,2022-01-06,Not as Described,276.04
520,1193,207,2022-12-04,Other,413.03
521,2397,1795,2022-04-10,Damaged,857.83
522,2253,2144,2022-10-31,Wrong Item,861.79
523,1364,2361,2020-10-22,Wrong Item,466.13
524,2720,2871,2021-05-02,Not as Described,26.46
525,131,1,2021-01-11,Other,958.67
526,513,1578,2023-07-22,Damaged,708.96
527,2528,1400,2022-02-10,Not as Described,483.51
528,2106,995,2021-03-29,Other,857.49
529,1895,912,2020-01-10,Wrong Item,718.69
530,533,1661,2020-11-30,Wrong Item,805.64
531,719,2242,2020-01-05,Not as Described,839.95
532,2814,1124,2021-05-16,Wrong Item,565.27
533,2169,353,2023-04-04,Damaged,832.93
534,186,1394,2020-04-27,Other,169.88
535,2377,10,2021-01-18,Other,600.08
536,1626,808,2020-12-18,Not as Described,673.87
537,37,1112,2021-09-02,Other,34.53
538,1225,380,2020-12-15,Wrong Item,590.81
539,1383,2439,2022-04-24,Wrong Item,183.30
540,330,1010,2022-12-10,Other,472.96
541,2283,672,2020-09-27,Wrong Item,339.83
542,1844,771,2020-01-04,Other,780.46
543,666,2928,2021-06-26,Other,312.52
544,1208,517,2022-03-15,Damaged,927.29
545,2849,2090,2022-03-20,Not as Described,710.46
546,2472,1900,2022-07-11,Wrong Item,161.98
547,619,2949,2020-06-16,Other,148.14
548,1458,841,2021-03-19,Other,565.40
549,2740,558,2022-02-22,Wrong Item,417.24
550,1133,1752,2020-09-21,Damaged,35.87
551,69,2248,2020-09-19,Not as Described,302.66
552,2809,225,2020-11-25,Not as Described,413.85
553,2241,3053,2022-10-12,Wrong Item,579.75
554,1993,1700,2022-04-14,Other,663.73
555,2042,625,2022-05-19,Other,313.94
556,2371,929,2021-07-21,Wrong Item,656.92
557,179,2106,2022-07-24,Damaged,109.16
558,2504,2224,2020-01-13,Other,449.24
559,1372,860,2023-01-09,Other,161.26
560,2734,2585,2023-02-23,Wrong Item,521.96
561,2747,541,2022-12-30,Wrong Item,188.12
562,1707,914,2022-04-14,Damaged,41.85
563,2600,1728,2023-08-17,Other,250.07
564,102,2992,2023-10-27,Not as Described,213.92
565,32,2017,2023-11-21,Damaged,759.67
566,139,1426,2021-11-07,Not as Described,359.67
567,3021,2933,2022-09-23,Damaged,139.92
568,2901,1486,2022-08-09,Wrong Item,127.68
569,2912,1446,2020-08-29,Damaged,215.22
570,1940,1520,2022-12-12,Not as Described,45.03
571,570,2820,2021-06-18,Damaged,108.95
572,2821,2815,2022-05-05,Wrong Item,565.10
573,508,1944,2021-09-18,Other,759.59
574,1574,383,2020-06-04,Wrong Item,380.98
575,338,2354,2020-06-06,Wrong Item,939.91
576,735,2847,2020-04-30,Damaged,247.70
577,1163,788,2021-04-17,Damaged,165.43
578,1524,1262,2020-01-15,Damaged,937.86
579,397,1487,2022-04-06,Not as Described,821.25
580,931,1784,2021-03-28,Damaged,166.32
581,84,1645,2020-02-08,Damaged,743.25
582,789,868,2021-10-13,Not as Described,851.53
583,2862,1960,2020-01-10,Other,31.36
584,2845,1740,2020-10-27,Damaged,965.58
585,1890,2395,2023-08-01,Other,580.47
586,2954,1367,2020-01-18,Not as Described,645.56
587,2539,1509,2021-05-01,Not as Described,731.18
588,2779,1142,2020-07-11,Not as Described,763.21
589,2996,2928,2021-10-06,Damaged,986.66
590,2673,306,2020-12-19,Damaged,943.19
